n	Session	magnetometer.seconds.Unix	magnetometer.magx	magnetometer.magy	magnetometer.magz
22	4607	1411812136	\x003300320033003200330033003500350036003500360037003600360034003400330035003400320031003100320031002f0030002f002f002f002e002d002d002f002d002c002e002f002f00300030002f003100320031003100320032003000310032	\xff33ff33ff35ff35ff38ff38ff39ff38ff38ff39ff39ff39ff38ff36ff36ff38ff37ff36ff36ff34ff34ff35ff35ff36ff36ff38ff39ff3aff3bff39ff39ff39ff39ff39ff37ff35ff36ff35ff35ff34ff33ff31ff31ff34ff34ff35ff34ff33ff34ff35	\x00120013001100120010001000100011001200110012001200140014001300120012001300120012001200110013001300130012001200120012001300110012001200130013001200130014001700160016001500160016001400140012001100120012
23	4607	1411812137	\x00330032003200300032003200330032003100310032003300330033003100300031003200310030002f002e002f002f002e002c002c002d002f00310031003100310032003200310030002f002f00300033003200320033003300320032003100300031	\xff37ff35ff34ff35ff36ff36ff37ff37ff36ff36ff36ff35ff35ff35ff35ff33ff33ff33ff33ff33ff35ff34ff34ff34ff35ff35ff35ff36ff34ff35ff34ff34ff34ff34ff34ff35ff36ff35ff38ff39ff39ff39ff38ff38ff37ff38ff37ff36ff35ff36	\x00110012001300130013001300110012001400140014001300140016001700170016001700170017001600160017001700170016001700170015001500150014001100120012001200130012001200130016001500140014001400150015001500130012
24	4607	1411812138	\x0032003100310032003100310032003100310031003200310032003200300032003300330032003300330033003500340033003300340034003400340033003300330033003400340035003500360035003500340034003200310032003100310032	\xff36ff36ff37ff36ff35ff35ff35ff35ff35ff35ff35ff34ff35ff36ff35ff36ff35ff35ff34ff35ff35ff34ff35ff35ff35ff37ff39ff39ff39ff3bff3cff3bff3bff3aff38ff3aff3bff3aff3aff3bff3aff3bff3aff39ff39ff39ff38ff38ff38	\x0014001400120012001000110010000e000d000e000f000d000c000b000b000d000d000c000b000b000d000d000e000e000e000e00110011001100110012001200120011000f00120014001400120013001400150016001500140013001600130013
25	4607	1411812139	\x003300330035003600350036003500340034003400310032003400330034003500330032003400340032003300310031003300340031002f002f002f003000300030002f002f002f002f002f002e002e002d002f002f002f002f002f0030003100310031	\xff38ff39ff3aff37ff38ff37ff37ff37ff37ff36ff34ff35ff35ff36ff35ff36ff35ff34ff35ff36ff35ff35ff37ff37ff37ff38ff38ff39ff3aff3bff3aff37ff38ff37ff37ff36ff35ff33ff32ff35ff34ff33ff35ff35ff36ff36ff35ff35ff36ff36	\x00110011000f00100011001100120013001300140014001200130013001200120013001200140015001300130014001400160017001600160017001700150013001100100011001000100010001100130015001700160016001600160016001500140013
26	4607	1411812140	\x00320032003400340033003200300031002f002f002f00300030003000320033003500350035003300330034003400330031003100310032003100310032003200350035003300340034003300310032003100310032003000310030003200320031002f	\xff35ff35ff35ff36ff36ff35ff34ff35ff35ff34ff33ff34ff35ff37ff36ff35ff34ff35ff36ff35ff35ff34ff35ff37ff36ff37ff38ff38ff37ff36ff35ff35ff35ff32ff32ff33ff33ff35ff37ff38ff38ff38ff39ff3aff39ff38ff38ff38ff39ff3a	\x00140012001100120011001100110010000f00100011001000110010000f000d000d000e000e000e000f00110013001500150014001400140012001100100010001100110010001000100010001100110011001200130013001400140013001300120013
27	4607	1411812141	\x0031003300340035003400320032003300310031003100320032003400350035003500340034003400340033003300320032003300330033003300350035003700360036003600340033003200330033003200310030003200330031003100310033	\xff3aff39ff3aff3bff39ff39ff39ff39ff37ff36ff35ff34ff35ff35ff34ff34ff34ff34ff34ff35ff35ff35ff35ff36ff36ff37ff38ff37ff37ff35ff35ff35ff34ff35ff33ff34ff34ff35ff35ff34ff35ff34ff36ff36ff37ff37ff37ff38ff39	\x00120011001300120013001300120012001300130011001200110011001100100010000f0010000e000f0011001200130012001500150014001500130013001400140013001300150015001500140013001200120013001200130012001400120012
28	4607	1411812142	\x0034003300320030003200310030002f00300030003200330032003200340033003200330032003200310032003000310032003100310032003300330034003500340034003400340035003600350033003400330032003200310031003300350035	\xff37ff36ff35ff34ff34ff33ff33ff34ff34ff33ff35ff36ff36ff36ff36ff35ff36ff36ff36ff36ff37ff38ff38ff38ff39ff39ff38ff38ff38ff38ff39ff3aff38ff37ff39ff39ff37ff35ff34ff34ff34ff36ff35ff36ff36ff37ff38ff35ff36	\x001100110010000f0012001100120014001400160015001500140012001100100010000e000f000e000d000f0010001000100010000f00100011000f00110010000f000f0010000d000d000f000e000f000f000f0010001100110011001100120010
29	4607	1411812143	\x003500360036003500320031003100300030003000320033003400350035003500360035003400320032003100320033003200330030003100300030002f002f002e002e003000310031003000300031003100310030002f0031003100300030003100300031	\xff35ff36ff36ff37ff37ff37ff39ff39ff3aff39ff37ff38ff36ff35ff35ff36ff35ff35ff35ff36ff38ff38ff39ff39ff38ff39ff3aff37ff35ff36ff35ff34ff35ff35ff34ff35ff36ff36ff38ff38ff39ff38ff37ff38ff38ff39ff38ff38ff37ff38ff39	\x001000100010001200120014001400130013001300140013001400130013001600160015001500150014001400140014001400140016001700170017001800180018001700160015001500140014001300130015001500150016001600150015001500140014
30	4607	1411812144	\x0030002e002f002f002f002f0030002f003100310032003400330032003200330034003500350033003300340035003300310031002f002f002f002f002f00300031003000310030003000300030002e002e002e002e003000320030003200310032	\xff39ff3aff37ff38ff38ff38ff37ff37ff36ff37ff38ff39ff39ff39ff39ff39ff39ff38ff38ff36ff37ff35ff36ff37ff37ff38ff38ff38ff38ff3bff3aff3aff39ff38ff36ff37ff35ff34ff35ff34ff34ff35ff37ff36ff35ff36ff36ff35ff37	\x0014001400140014001300140014001300130015001400140014001200130015001400120011001200110012001300130015001700180017001900180018001700160014001400160015001600140014001500150016001500150017001700170017
31	4607	1411812145	\x0031002f002f002f002f002f00310032003300350034003400340033003300330034003400360036003600350035003400340032003100330032003400330034003600370038003600380036003800360033003300330034003200340032003200320031	\xff36ff35ff37ff38ff39ff38ff39ff38ff39ff39ff39ff39ff38ff38ff38ff38ff35ff34ff34ff33ff33ff33ff32ff33ff34ff35ff36ff37ff38ff38ff38ff37ff37ff37ff36ff36ff35ff36ff35ff35ff35ff35ff35ff34ff34ff34ff36ff36ff36ff36	\x00170016001600160014001600160014001500170017001700170017001600180017001500150014001500130012001100110011001200130013001300120012001200110010000e000e000f00110011000f0010000f0010000f000f000e000e00100012
