systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411812918.88914	1411812925.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812919.90956	1411812926.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812920.89050	1411812927.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812922.88913	1411812928.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812923.90954	1411812930.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812924.88344	1411812931.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812925.88918	1411812932.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812927.87906	1411812933.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812928.89744	1411812935.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812929.93007	1411812936.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812930.89454	1411812937.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812932.83222	1411812938.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812933.84991	1411812939.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812934.88822	1411812941.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812935.91196	1411812942.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812937.88778	1411812943.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812938.92045	1411812945.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812939.91100	1411812946.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812940.93318	1411812947.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812942.34051	1411812948.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812943.89922	1411812950.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812944.90109	1411812951.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812945.91823	1411812952.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812947.32998	1411812953.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812947.88043	1411812954.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812948.88305	1411812955.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812949.88479	1411812956.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812950.91530	1411812957.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812952.32986	1411812958.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812952.93541	1411812959.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812953.91710	1411812960.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812954.91523	1411812961.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812955.93001	1411812962.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812957.32951	1411812963.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812957.91641	1411812964.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812958.94573	1411812965.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812959.90526	1411812966.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812960.91448	1411812967.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812962.32490	1411812968.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812962.93083	1411812969.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812963.90237	1411812970.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812964.89191	1411812971.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812965.93687	1411812972.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812967.33454	1411812973.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812968.91405	1411812975.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812969.88333	1411812976.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812970.92797	1411812977.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812972.87056	1411812978.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812973.88888	1411812980.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812974.92397	1411812981.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812975.90029	1411812982.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.7
1411812977.89610	1411812983.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812978.94012	1411812985.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812979.90387	1411812986.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812980.89655	1411812987.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
