systime	sender_id	rssi
000081.997	1	-77
000082.002	4	-42
000082.013	2	-38
000082.019	1	-80
000082.023	4	-38
000082.035	2	-40
000082.040	1	-78
000082.044	4	-41
000082.066	4	-39
000082.077	2	-38
000082.082	1	-80
000082.108	4	-41
000082.122	2	-37
000082.126	1	-80
000082.131	4	-38
000082.145	2	-40
000082.149	1	-81
000082.154	4	-39
000082.173	1	-78
000082.177	4	-41
000082.186	2	-40
000082.191	1	-80
000082.207	2	-40
000082.212	1	-78
000082.219	4	-41
000082.233	1	-81
000082.249	2	-40
000082.254	1	-81
000082.261	4	-42
000082.275	1	-79
000082.291	2	-41
000082.296	1	-80
000082.312	4	-41
000082.319	1	-84
000082.326	4	-42
000082.333	2	-40
000082.338	1	-83
000082.359	1	-83
000082.368	4	-41
000082.375	2	-40
000082.380	1	-81
000082.389	4	-41
000082.403	1	-79
000082.412	4	-41
000082.417	2	-40
000082.422	1	-82
000082.433	4	-41
000082.438	2	-37
000082.443	1	-79
000082.454	4	-41
000082.464	1	-83
000082.475	4	-39
000082.480	2	-40
000082.485	1	-82
000082.496	4	-41
000082.506	1	-81
000082.517	4	-41
000082.522	2	-40
000082.527	1	-81
000082.538	4	-41
000082.548	1	-83
000082.560	4	-42
000082.565	2	-40
000082.569	1	-83
000082.581	4	-41
000082.586	2	-37
000082.591	1	-81
000082.603	4	-41
000082.608	2	-40
000082.612	1	-83
000082.631	2	-41
000082.636	1	-81
000082.645	4	-41
000082.659	1	-85
000082.668	4	-41
000082.673	2	-40
000082.678	1	-87
000082.689	4	-42
000082.699	1	-89
000082.710	4	-42
000082.715	2	-38
000082.720	1	-82
000082.731	4	-41
000082.741	1	-83
000082.752	4	-41
000082.759	2	-38
000082.764	1	-86
000082.773	4	-41
000082.778	2	-40
000082.787	1	-83
000082.796	4	-41
000082.801	2	-40
000082.806	1	-83
000082.817	4	-39
000082.822	2	-38
000082.827	1	-86
000082.839	4	-41
000082.843	2	-40
000082.848	1	-81
000082.859	4	-39
000082.869	1	-86
000082.880	4	-41
000082.887	2	-40
000082.892	1	-83
000082.901	4	-41
000082.906	2	-40
000082.922	4	-41
000082.927	2	-38
000082.933	1	-86
000082.944	4	-41
000082.949	2	-40
000082.954	1	-83
000082.965	4	-41
000082.970	2	-41
000082.975	1	-84
000082.987	4	-42
000082.992	2	-40
000082.996	1	-82
000083.015	2	-40
000083.020	1	-82
000083.029	4	-41
000083.043	1	-89
000083.053	4	-41
000083.058	2	-40
000083.062	1	-83
000083.079	2	-40
000083.084	1	-83
000083.094	4	-38
000083.116	4	-41
000083.121	2	-40
000083.126	1	-88
000083.136	4	-41
000083.144	2	-40
000083.148	1	-86
000083.157	4	-41
000083.165	2	-40
000083.171	1	-90
000083.180	4	-41
000083.186	2	-40
000083.191	1	-91
000083.201	4	-41
000083.222	4	-42
000083.228	2	-40
000083.233	1	-88
000083.244	4	-42
000083.264	4	-39
000083.272	2	-40
000083.276	1	-87
000083.285	4	-41
000083.299	1	-85
000083.309	4	-38
000083.313	2	-38
000083.318	1	-85
000083.329	4	-41
000083.339	1	-82
000083.354	4	-41
000083.359	2	-40
000083.363	1	-79
000083.375	4	-41
000083.380	2	-38
000083.384	1	-83
000083.401	2	-37
000083.406	1	-82
000083.417	4	-41
000083.427	1	-82
000083.443	2	-38
000083.448	1	-88
000083.459	4	-41
000083.469	1	-82
000083.485	2	-40
000083.491	1	-85
000083.501	4	-41
000083.511	1	-84
000083.528	2	-37
000083.532	1	-79
000083.543	4	-41
000083.555	1	-86
000083.565	4	-41
000083.569	2	-40
000083.574	1	-87
000083.585	4	-41
000083.591	2	-40
000083.596	1	-81
000083.606	4	-41
000083.617	1	-89
000083.627	4	-41
000083.633	2	-40
000083.638	1	-88
000083.648	4	-41
000083.659	1	-88
000083.669	4	-41
000083.675	2	-38
000083.680	1	-83
000083.690	4	-41
000083.701	1	-82
000083.712	4	-42
000083.717	2	-38
000083.722	1	-81
000083.734	4	-42
000083.738	2	-37
000083.743	1	-85
000083.755	4	-41
000083.760	2	-38
000083.764	1	-87
000083.784	2	-38
000083.788	1	-83
000083.797	4	-42
000083.812	1	-89
000083.821	4	-41
000083.825	2	-40
000083.830	1	-83
000083.842	4	-39
000083.847	2	-37
000083.851	1	-82
000083.867	2	-38
000083.872	1	-88
000083.883	4	-42
000083.889	2	-40
000083.894	1	-81
000083.904	4	-41
000083.925	4	-39
000083.931	2	-38
000083.936	1	-79
000083.946	4	-41
000083.968	4	-42
000083.973	2	-38
000083.978	1	-77
000083.990	4	-42
000083.994	2	-37
000083.999	1	-86
000084.011	4	-41
000084.016	2	-41
000084.020	1	-82
000084.040	2	-40
000084.044	1	-84
000084.053	4	-42
000084.068	1	-89
000084.077	4	-42
000084.081	2	-40
000084.086	1	-83
000084.098	4	-42
000084.103	2	-38
000084.107	1	-90
000084.124	2	-40
000084.129	1	-80
000084.139	4	-39
000084.160	4	-40
000084.168	2	-40
000084.173	1	-85
000084.182	4	-43
000084.196	1	-86
000084.205	4	-41
000084.210	2	-40
000084.215	1	-85
000084.231	2	-40
000084.236	1	-85
000084.247	4	-42
000084.257	1	-86
000084.273	2	-40
000084.278	1	-87
000084.289	4	-42
000084.299	1	-86
000084.315	2	-38
000084.320	1	-81
000084.331	4	-40
000084.341	1	-87
000084.353	4	-42
000084.358	2	-40
000084.363	1	-84
000084.379	2	-37
000084.384	1	-82
000084.394	4	-43
000084.405	1	-83
000084.415	4	-43
000084.424	2	-40
000084.429	1	-82
000084.438	4	-43
000084.443	2	-41
000084.464	2	-41
000084.470	1	-82
000084.481	4	-42
000084.485	2	-40
000084.491	1	-84
000084.502	4	-42
000084.507	2	-40
000084.512	1	-85
000084.528	2	-38
000084.533	1	-88
000084.544	4	-42
000084.554	1	-85
000084.570	2	-40
000084.575	1	-80
000084.586	4	-42
000084.596	1	-87
000084.612	2	-40
000084.617	1	-82
000084.628	4	-42
000084.638	1	-87
000084.654	2	-40
000084.659	1	-81
000084.670	4	-42
000084.682	1	-87
000084.691	4	-43
000084.696	2	-40
000084.701	1	-83
000084.712	4	-42
000084.722	1	-90
000084.733	4	-42
000084.738	2	-37
000084.743	1	-89
000084.754	4	-42
000084.759	2	-40
000084.764	1	-83
000084.775	4	-42
000084.785	1	-87
000084.796	4	-42
000084.801	2	-40
000084.806	1	-81
000084.818	4	-42
000084.827	1	-83
000084.840	4	-40
000084.844	2	-40
000084.848	1	-85
000084.860	4	-42
000084.865	2	-40
000084.869	1	-88
000084.882	4	-42
000084.887	2	-40
000084.891	1	-85
000084.911	2	-37
000084.915	1	-84
000084.924	4	-42
000084.938	1	-79
000084.947	4	-42
000084.952	2	-40
000084.957	1	-83
000084.969	4	-42
000084.974	2	-38
000084.978	1	-80
000084.993	4	-42
000084.997	2	-40
000085.001	1	-79
000085.012	4	-42
000085.019	2	-40
000085.024	1	-84
000085.054	4	-42
000085.064	2	-38
000085.069	1	-89
000085.078	4	-42
000085.098	4	-42
000085.103	2	-40
000085.110	1	-82
000085.121	4	-42
000085.125	2	-40
000085.131	1	-81
000085.142	4	-42
000085.147	2	-38
000085.152	1	-79
000085.169	2	-37
000085.173	1	-81
000085.184	4	-42
000085.195	1	-80
000085.210	2	-39
000085.215	1	-83
000085.226	4	-43
000085.236	1	-82
000085.252	2	-40
000085.257	1	-81
000085.268	4	-42
000085.278	1	-83
000085.295	2	-38
000085.299	1	-82
000085.310	4	-42
000085.315	2	-38
000085.323	1	-82
000085.332	4	-40
000085.336	2	-37
000085.341	1	-86
000085.353	4	-42
000085.358	2	-40
000085.363	1	-82
000085.379	2	-38
000085.384	1	-84
000085.394	4	-42
000085.405	1	-87
000085.415	4	-43
000085.423	2	-40
000085.427	1	-84
000085.437	4	-43
000085.451	1	-86
000085.460	4	-42
000085.464	2	-38
000085.469	1	-82
000085.481	4	-43
000085.486	2	-37
000085.491	1	-82
000085.507	2	-39
000085.512	1	-86
000085.522	4	-42
000085.533	1	-81
000085.543	4	-43
000085.551	2	-40
000085.556	1	-84
000085.565	4	-42
000085.579	1	-89
000085.588	4	-42
000085.593	2	-40
000085.597	1	-87
000085.614	2	-40
000085.619	1	-88
000085.629	4	-43
000085.640	1	-85
000085.650	4	-43
000085.656	2	-40
000085.661	1	-90
000085.671	4	-41
000085.682	1	-89
000085.692	4	-42
000085.698	2	-40
000085.703	1	-85
000085.713	4	-42
000085.724	1	-84
000085.736	4	-41
000085.740	2	-40
000085.745	1	-84
000085.757	4	-43
000085.762	2	-38
000085.766	1	-87
000085.783	2	-38
000085.788	1	-84
000085.800	4	-39
000085.809	1	-84
000085.825	2	-40
000085.830	1	-81
000085.841	4	-40
000085.851	1	-83
000085.867	2	-37
000085.872	1	-83
000085.882	4	-44
000085.894	1	-80
000085.904	4	-43
000085.909	2	-38
000085.914	1	-85
000085.930	2	-40
000085.937	1	-85
000085.946	4	-43
000085.952	2	-40
000085.957	1	-88
000085.967	4	-44
000085.973	2	-38
000085.978	1	-85
000085.988	4	-43
000085.995	2	-40
000086.000	1	-86
000086.010	4	-42
000086.021	1	-82
000086.037	2	-38
000086.042	1	-90
000086.051	4	-43
000086.059	2	-38
000086.065	1	-82
000086.074	4	-43
000086.085	1	-81
000086.096	4	-42
000086.101	2	-38
000086.106	1	-86
000086.122	2	-40
000086.127	1	-81
000086.138	4	-43
000086.144	2	-40
000086.149	1	-89
000086.159	4	-44
000086.170	1	-88
000086.181	4	-44
000086.186	2	-40
000086.193	1	-83
000086.202	4	-44
000086.207	2	-38
000086.212	1	-84
000086.224	4	-44
000086.229	2	-40
000086.233	1	-86
000086.250	2	-38
000086.255	1	-87
000086.265	4	-44
000086.286	4	-42
000086.294	2	-38
000086.298	1	-87
000086.308	4	-43
000086.321	1	-82
000086.330	4	-43
000086.335	2	-40
000086.340	1	-85
000086.352	4	-43
000086.357	2	-40
000086.361	1	-81
000086.378	2	-40
000086.383	1	-82
000086.393	4	-44
000086.404	1	-84
000086.414	4	-43
000086.422	2	-41
000086.426	1	-83
000086.435	4	-43
000086.441	2	-41
000086.449	1	-91
000086.459	4	-43
000086.463	2	-40
000086.468	1	-88
000086.479	4	-44
000086.489	1	-85
000086.500	4	-44
000086.505	2	-40
000086.510	1	-86
000086.521	4	-44
000086.531	1	-90
000086.542	4	-43
000086.550	2	-41
000086.554	1	-81
000086.563	4	-43
000086.568	2	-40
000086.577	1	-87
000086.587	4	-44
000086.591	2	-41
000086.596	1	-82
000086.607	4	-44
000086.617	1	-91
000086.628	4	-43
000086.633	2	-40
000086.638	1	-84
000086.649	4	-44
000086.659	1	-88
000086.670	4	-44
000086.678	2	-39
000086.683	1	-88
000086.691	4	-45
000086.706	1	-86
000086.714	4	-44
000086.719	2	-41
000086.724	1	-88
000086.735	4	-43
000086.745	1	-85
000086.756	4	-45
000086.761	2	-41
000086.766	1	-88
000086.777	4	-44
000086.782	2	-42
000086.787	1	-88
000086.798	4	-45
000086.808	1	-89
000086.819	4	-44
000086.824	2	-42
000086.829	1	-81
000086.840	4	-44
000086.845	2	-42
000086.850	1	-88
000086.862	4	-45
000086.867	2	-41
000086.871	1	-84
000086.883	4	-43
000086.888	2	-42
000086.893	1	-91
000086.905	4	-44
000086.910	2	-41
000086.914	1	-85
000086.926	4	-46
000086.931	2	-42
000086.936	1	-81
000086.948	4	-44
000086.953	2	-42
000086.957	1	-87
000086.974	2	-43
000086.990	4	-45
000087.016	2	-43
000087.021	1	-82
000087.032	4	-45
000087.058	2	-42
000087.064	1	-84
000087.074	4	-44
000087.100	2	-40
000087.105	1	-89
000087.115	4	-45
000087.136	4	-45
000087.142	2	-43
000087.147	1	-90
000087.158	4	-44
000087.184	2	-42
000087.189	1	-83
000087.201	4	-42
000087.205	2	-42
000087.227	2	-42
000087.232	1	-86
000087.243	4	-42
000087.269	2	-39
000087.274	1	-85
000087.285	4	-45
000087.295	1	-84
000087.311	2	-41
000087.316	1	-87
000087.327	4	-45
000087.337	1	-83
000087.353	2	-41
000087.358	1	-86
000087.370	4	-46
