systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411812225.45970	1411812225.00	41.178062	-8.598368	142.8	0.072	172.6300	1.6	2.4	2.9
1411812226.53240	1411812226.00	41.178062	-8.598368	142.7	0.072	173.0600	1.6	2.4	2.9
1411812227.95106	1411812227.00	41.178062	-8.598368	142.6	0.072	173.2400	1.6	2.4	2.9
1411812228.53630	1411812228.00	41.178062	-8.598368	142.5	0.072	173.6700	1.6	2.4	2.9
1411812229.46408	1411812229.00	41.178062	-8.598367	142.4	0.067	173.0900	1.6	2.4	2.9
1411812230.50652	1411812230.00	41.178062	-8.598367	142.4	0.072	172.3200	1.6	2.4	2.9
1411812231.47726	1411812231.00	41.178062	-8.598367	142.3	0.072	169.7500	1.6	2.4	2.9
1411812232.22555	?	?	?	142.2	?	?	1.6	?	?
1411812233.44390	1411812232.00	41.178062	-8.598367	142.2	0.072	170.7700	1.6	2.4	2.9
1411812234.49459	1411812233.00	41.178062	-8.598367	142.1	0.072	174.0300	1.6	2.4	2.9
1411812235.50415	1411812235.00	41.178062	-8.598365	142.0	0.077	171.3900	1.6	2.4	2.9
1411812236.18641	?	?	?	142.0	?	?	1.6	?	?
1411812236.74542	1411812236.00	41.178062	-8.598365	?	0.072	173.6600	1.6	2.4	2.9
1411812237.68647	?	?	?	141.9	?	?	1.6	2.4	2.9
1411812238.52808	1411812238.00	41.178062	-8.598365	141.9	0.067	170.7800	1.6	2.4	2.9
1411812239.49952	1411812239.00	41.178062	-8.598365	141.8	0.072	175.3900	1.6	2.4	2.9
1411812240.46958	1411812240.00	41.178062	-8.598365	141.8	0.072	171.3000	1.6	2.4	2.9
1411812241.50024	1411812241.00	41.178062	-8.598363	141.7	0.077	175.7000	1.6	2.4	2.9
1411812242.92790	1411812242.00	41.178062	-8.598363	141.7	0.067	171.5800	1.6	2.4	2.9
1411812243.52131	1411812243.00	41.178062	-8.598363	141.7	0.077	171.2100	1.6	2.4	2.9
1411812244.47160	1411812244.00	41.178062	-8.598363	141.6	0.072	171.2100	1.6	2.4	2.9
1411812245.50526	1411812245.00	41.178062	-8.598363	141.5	0.077	170.3400	1.6	2.4	2.9
1411812246.51298	1411812246.00	41.178062	-8.598362	141.4	0.041	156.3100	1.6	2.4	2.9
1411812247.22453	?	?	?	141.3	?	?	1.6	?	?
1411812248.47040	1411812248.00	41.178063	-8.598362	141.3	0.046	169.3900	1.6	2.4	2.9
1411812249.53429	1411812249.00	41.178063	-8.598362	141.3	0.041	169.8600	1.6	2.4	2.9
1411812250.49854	1411812250.00	41.178063	-8.598362	141.3	0.067	178.6100	1.6	2.4	2.9
1411812251.47084	1411812251.00	41.178063	-8.598362	141.3	?	?	1.6	2.4	2.9
1411812252.67862	?	?	?	141.3	?	?	1.6	2.4	2.9
1411812253.52170	1411812253.00	41.178062	-8.598362	141.3	0.077	179.9300	1.6	2.4	2.9
1411812254.49714	1411812254.00	41.178062	-8.598362	141.3	0.077	180.3600	1.6	2.4	2.9
1411812255.46375	1411812254.00	41.178062	-8.598362	141.4	0.077	180.3600	1.6	2.4	2.9
1411812256.47305	1411812256.00	41.178062	-8.598362	141.3	0.036	184.8100	1.6	2.4	2.9
1411812257.92252	1411812257.00	41.178063	-8.598362	141.3	0.031	182.9700	1.6	2.4	2.9
1411812258.51447	1411812258.00	41.178063	-8.598362	141.4	0.031	191.6300	1.6	2.4	2.9
1411812259.17095	?	?	?	141.4	?	?	1.6	?	?
1411812259.70814	1411812259.00	41.178063	-8.598362	?	0.036	187.0200	1.6	2.4	2.9
1411812260.51877	1411812260.00	41.178063	-8.598362	141.4	0.098	177.3900	1.6	2.4	2.9
1411812261.52150	1411812261.00	41.178063	-8.598362	141.4	0.098	176.1000	1.6	2.4	2.9
1411812263.44648	1411812262.00	41.178062	-8.598362	141.5	0.103	178.5900	1.6	2.4	2.9
1411812264.50436	1411812263.00	41.178062	-8.598362	141.5	0.098	176.3500	1.6	2.4	2.9
1411812265.51413	1411812265.00	41.178062	-8.598362	141.5	0.077	181.5600	1.6	2.4	2.9
1411812266.34345	?	?	?	141.5	?	?	1.6	2.4	2.9
1411812266.89159	1411812266.00	41.178062	-8.598362	?	0.082	180.6400	?	?	?
1411812267.77273	?	?	?	141.6	?	?	1.6	2.4	2.9
1411812268.52894	1411812268.00	41.178062	-8.598362	141.6	0.077	180.6000	1.6	2.4	2.9
1411812269.55595	1411812269.00	41.178062	-8.598362	141.6	0.077	181.5800	1.6	2.4	2.9
1411812270.47440	1411812270.00	41.178062	-8.598362	141.6	0.077	178.3100	1.6	2.5	2.9
1411812271.53153	1411812271.00	41.178062	-8.598362	141.7	0.082	181.1800	1.6	2.5	2.9
1411812272.95647	1411812272.00	41.178060	-8.598362	141.7	0.082	181.6300	1.6	2.5	2.9
1411812273.79217	1411812273.00	41.178060	-8.598362	141.7	0.077	174.6800	1.6	2.5	2.9
1411812274.48545	1411812274.00	41.178060	-8.598362	141.7	0.077	176.4600	1.6	2.5	2.9
1411812275.51435	1411812275.00	41.178060	-8.598362	141.7	0.077	178.1100	1.6	2.5	2.9
1411812276.52140	1411812276.00	41.178060	-8.598362	141.7	0.072	176.4100	1.6	2.5	2.9
1411812277.38171	?	?	?	141.7	?	?	1.6	2.5	2.9
1411812278.48258	1411812277.00	41.178060	-8.598362	141.7	0.077	177.9400	1.6	2.5	2.9
1411812279.50369	1411812279.00	41.178060	-8.598362	141.7	0.077	176.6700	1.6	2.5	2.9
1411812280.48823	1411812280.00	41.178060	-8.598362	141.7	0.077	179.0800	1.6	2.5	2.9
1411812281.40257	?	?	?	141.7	?	?	1.6	2.5	2.9
1411812281.95060	1411812281.00	41.178060	-8.598362	?	0.077	177.1000	?	?	?
1411812282.79848	?	?	?	141.7	?	?	1.6	2.5	2.9
1411812283.53121	1411812283.00	41.178060	-8.598360	141.7	0.072	176.7100	1.6	2.5	2.9
1411812284.56275	1411812284.00	41.178060	-8.598360	141.7	0.087	192.2100	1.6	2.5	2.9
1411812285.47812	1411812285.00	41.178060	-8.598360	141.6	0.077	191.3100	1.6	2.5	2.9
1411812286.50795	1411812286.00	41.178060	-8.598360	141.6	0.087	191.0400	1.6	2.5	2.9
1411812288.20711	1411812287.00	41.178060	-8.598362	141.5	0.082	187.4000	1.6	2.5	2.9
