systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411813194.43208	1411813221.00	41.165348	-8.598498	175.5	4.697	97.8800	0.9	1.3	1.6
1411813195.43900	1411813222.00	41.165342	-8.598437	175.3	5.613	99.6100	1.0	1.5	1.8
1411813196.44936	1411813223.00	41.165333	-8.598365	175.1	6.142	100.2700	1.0	1.5	1.8
1411813197.43709	1411813224.00	41.165323	-8.598290	175.0	6.400	101.1700	0.9	1.3	1.6
1411813198.91103	1411813225.00	41.165313	-8.598212	174.8	6.806	101.0200	0.9	1.3	1.6
1411813199.48060	1411813226.00	41.165300	-8.598128	174.9	7.146	101.3600	0.9	1.3	1.6
1411813200.45935	1411813227.00	41.165288	-8.598047	174.6	6.791	100.8100	0.9	1.3	1.6
1411813201.42950	1411813228.00	41.165278	-8.597968	174.6	6.163	101.5300	0.9	1.3	1.6
1411813202.44591	1411813229.00	41.165268	-8.597900	174.3	5.242	99.2800	0.9	1.3	1.6
1411813203.89514	1411813230.00	41.165262	-8.597838	173.8	5.129	101.4100	0.9	1.3	1.6
1411813204.46500	1411813231.00	41.165253	-8.597778	173.1	5.036	101.1000	0.9	1.3	1.6
1411813205.45946	1411813232.00	41.165247	-8.597718	172.5	4.944	99.3100	0.9	1.3	1.6
1411813206.46806	1411813233.00	41.165240	-8.597660	171.9	4.810	100.0200	0.9	1.3	1.6
1411813207.48985	1411813234.00	41.165233	-8.597602	171.5	4.810	99.3900	0.9	1.3	1.6
1411813208.89743	1411813235.00	41.165228	-8.597543	170.7	4.923	98.0200	0.9	1.3	1.6
1411813209.47946	1411813236.00	41.165222	-8.597480	170.4	5.659	100.0800	0.9	1.3	1.6
1411813210.46099	1411813237.00	41.165213	-8.597408	170.2	6.225	100.1200	0.9	1.3	1.6
1411813211.46316	1411813238.00	41.165205	-8.597330	169.9	6.755	100.2400	0.9	1.3	1.6
1411813212.45221	1411813239.00	41.165193	-8.597245	169.8	7.526	100.1000	0.9	1.3	1.6
